Ref,Val,Package,PosX,PosY,Rot,Side
"C3","62nF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",126.085600,-14.782800,0.000000,top
"C4","100uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",126.022600,-11.573596,0.000000,top
"J10","Conn_01x10_Male","Molex_PicoBlade_53398-1071_1x10-1MP_P1.25mm_Vertical",147.320000,-16.052800,0.000000,top
"R3","4.7k","R_0603_1608Metric",122.156000,-23.310700,180.000000,top
"R5","11k","R_0603_1608Metric",83.614684,-19.630500,270.000000,top
"R6","11k","R_0603_1608Metric",92.638444,-19.880284,90.000000,top
"R7","11K","R_0603_1608Metric",95.137800,-45.857800,0.000000,top
"R8","3k","R_0603_1608Metric",80.614684,-19.630500,270.000000,top
"R9","11K","R_0603_1608Metric",144.678400,-11.734800,0.000000,top
"U2","SSM6P35A","SOT-363_SC-70-6_Handsoldering",88.232380,-19.803348,0.000000,top
"U3","TCA9535PWR","TSSOP-24_4.4x7.8mm_P0.65mm",128.829100,-20.454996,90.000000,top
"U4","MIC2027","SOIC-16_3.9x9.9mm_P1.27mm",84.977800,-43.223800,90.000000,top
